abscissa	curvature	X	Y	theta	width_L	width_R
6.10686218257240170715e+02	3.70893101474240038939e-02	5.57236599965483634378e+01	-8.42691652588805766300e+01	-3.28068717063318393556e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
6.16126612582171219401e+02	-1.23852268623482596882e-02	5.03033153812394289162e+01	-8.38178987666829584668e+01	-3.21348719529116744198e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
6.23180846456285507884e+02	-1.74602077178352601411e-03	4.32872724179472925243e+01	-8.30921809130638848728e+01	-3.26332975257983060047e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
6.52312022757210002055e+02	-1.52801682619711082234e-02	1.48894503469744563517e+01	-7.69548620915745829052e+01	-3.51132625564936917684e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
6.60510740642594328165e+02	-1.22299669889109979826e-01	8.11775079108232233693e+00	-7.25355117055283074023e+01	-4.07531538990576436277e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
6.66704898409711290697e+02	-4.67366481377064837965e-02	6.09824914667176543048e+00	-6.67554124139997924203e+01	-4.59883420289806021941e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
6.76368051691662685698e+02	2.12534330973907538420e-02	6.12501583763754187117e+00	-5.71012921833859934395e+01	-4.72195830883809719580e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
6.82226309707444784181e+02	5.26251667629289068134e-03	5.90794204853376925257e+00	-5.12485664008299792727e+01	-4.64428967123959512975e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
6.87961954187426499630e+02	8.65383477402839329518e-02	4.99217815381628593485e+00	-4.56041385272320738409e+01	-4.38102111061169896544e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
6.92184781131863360315e+02	4.98559850310980323673e-02	3.01806400212723957566e+00	-4.18877359299885085875e+01	-4.09303627886502496835e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
6.96241155342580327670e+02	6.12744379648983220066e-02	3.24192742823511625971e-01	-3.88665375672273967211e+01	-3.86764298792880589772e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
7.02264436593226150762e+02	3.20006552719173595345e-02	-4.72718945744719398760e+00	-3.56224730783561440717e+01	-3.58673192781815064478e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
7.06947982042919420564e+02	7.36237374268342154027e-02	-9.13479004898472268792e+00	-3.40746050405218667834e+01	-3.33938360590177962806e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
7.12686403096239246224e+02	5.05115862136957111117e-02	-1.48426453889512544038e+01	-3.40253447921973588564e+01	-2.98321322860524551501e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
7.17928721540235983412e+02	6.59216123765477696184e-02	-1.98248121311124236854e+01	-3.55896415399369203669e+01	-2.67802327636093995267e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
